Date,Spot
2019-12-03,148.231145833333
2019-12-04,146.585069444444
2019-12-05,146.664895833333
2019-12-06,147.593923611111
2019-12-07,148.295486111111
2019-12-08,148.961770833333
2019-12-09,149.144965277778
2019-12-10,146.336111111111
2019-12-11,144.529826388889
2019-12-12,143.1965625
2019-12-13,144.28225694444401
2019-12-14,143.034409722222
2019-12-15,141.936625
2019-12-16,138.979201388889
2019-12-17,128.817048611111
2019-12-18,124.99392361111099
2019-12-19,127.599236111111
2019-12-20,127.422326388889
2019-12-21,127.296423611111
2019-12-22,129.34399305555598
2019-12-23,131.75170138888902
2019-12-24,127.87107638888901
2019-12-25,125.128229166667
2019-12-26,125.714756944444
2019-12-27,125.05986111111099
2019-12-28,127.467222222222
2019-12-29,130.3928125
2019-12-30,132.757152777778
2019-12-31,130.353090277778
2020-01-01,130.567604166667
2020-01-02,128.518541666667
2020-01-03,130.841805555556
2020-01-04,133.501875
2020-01-05,136.027708333333
2020-01-06,140.299236111111
2020-01-07,142.7190625
2020-01-08,142.40986111111098
2020-01-09,138.444548611111
2020-01-10,139.149375
2020-01-11,143.9378125
2020-01-12,144.220034722222
2020-01-13,143.497083333333
2020-01-14,154.298229166667
2020-01-15,164.42232638888902
2020-01-16,162.09100694444402
2020-01-17,168.744965277778
2020-01-18,172.160486111111
2020-01-19,169.94902777777799
2020-01-20,165.567916666667
2020-01-21,167.412430555556
2020-01-22,167.95163194444402
2020-01-23,162.812604166667
2020-01-24,160.430104166667
2020-01-25,159.84579861111098
2020-01-26,162.90329861111098
2020-01-27,168.41805555555598
2020-01-28,171.9246875
2020-01-29,176.16809027777802
2020-01-30,176.823473517488
2020-01-31,180.765451388889
2020-02-01,182.097256944444
2020-02-02,187.831388888889
2020-02-03,189.65125
2020-02-04,187.548680555556
2020-02-05,195.801111111111
2020-02-06,209.679618055556
2020-02-07,219.730868055556
2020-02-08,223.12277777777803
2020-02-09,227.504826388889
2020-02-10,222.72947916666698
2020-02-11,226.338576388889
2020-02-12,255.86104166666698
2020-02-13,268.121076388889
2020-02-14,272.533055555556
2020-02-15,277.251388888889
2020-02-16,263.33555555555597
2020-02-17,253.984201388889
2020-02-18,272.336388888889
2020-02-19,278.243472222222
2020-02-20,257.592430555556
2020-02-21,262.559513888889
2020-02-22,261.84003472222196
2020-02-23,270.036701388889
2020-02-24,267.64364583333304
2020-02-25,256.43552083333304
2020-02-26,233.854756944444
2020-02-27,226.48996527777803
2020-02-28,225.16604166666698
2020-02-29,226.41197916666698
2020-03-01,219.58958333333302
2020-03-02,225.400451388889
2020-03-03,226.939090909091
2020-03-04,224.37475694444402
2020-03-05,229.920798611111
2020-03-06,236.117048611111
2020-03-07,243.105
2020-03-08,223.31166666666698
2020-03-09,200.592152777778
2020-03-10,201.56503472222198
2020-03-11,195.83729166666697
2020-03-12,154.45791666666702
2020-03-13,124.948263888889
2020-03-14,129.230729166667
2020-03-15,123.291666666667
2020-03-16,112.67173611111099
2020-03-17,116.981388888889
2020-03-18,115.23618055555599
2020-03-19,126.50413194444401
2020-03-20,138.398819444444
2020-03-21,132.008506944444
2020-03-22,130.187152777778
2020-03-23,127.707847222222
2020-03-24,137.695486111111
2020-03-25,137.096145833333
2020-03-26,135.838402777778
2020-03-27,137.18829861111098
2020-03-28,128.901875
2020-03-29,128.492048611111
2020-03-30,130.98923611111098
2020-03-31,132.826493055556
2020-04-01,131.866701388889
2020-04-02,138.873725444684
2020-04-03,142.508125
2020-04-04,142.264791666667
2020-04-05,143.42267361111098
2020-04-06,155.566527777778
2020-04-07,170.50756944444402
2020-04-08,169.95107638888902
2020-04-09,170.661597222222
2020-04-10,160.23923611111098
2020-04-11,158.337222222222
2020-04-12,159.898090277778
2020-04-13,154.13857638888902
2020-04-14,158.581527777778
2020-04-15,157.950659722222
2020-04-16,165.392604166667
2020-04-17,170.821006944444
2020-04-18,178.152152777778
2020-04-19,182.99416666666698
2020-04-20,178.93190972222197
2020-04-21,171.85517361111096
2020-04-22,177.378368055556
2020-04-23,185.32111111111087
2020-04-24,187.83871527777802
2020-04-25,192.73520833333302
2020-04-26,195.445381944444
2020-04-27,195.423680555556
2020-04-28,195.718923611111
2020-04-29,207.870763888889
2020-04-30,214.071215277778
2020-05-01,211.525
2020-05-02,212.9990625
2020-05-03,212.879791666667
2020-05-04,203.466319444444
2020-05-05,205.95784722222197
2020-05-06,207.049236111111
2020-05-07,207.144027777778
2020-05-08,212.243645833333
2020-05-09,212.215069444444
2020-05-10,188.701944444444
2020-05-11,187.207673611111
2020-05-12,189.508888888889
2020-05-13,193.74635416666698
2020-05-14,200.886215277778
2020-05-15,198.96291666666698
2020-05-16,200.035798611111
2020-05-17,204.465034722222
2020-05-18,212.929618055556
2020-05-19,212.473958333333
2020-05-20,212.14965277777802
2020-05-21,204.45877622377603
2020-05-22,203.08715277777802
2020-05-23,207.79392361111096
2020-05-24,207.17260416666699
2020-05-25,203.27
2020-05-26,202.056142857143
2020-05-27,204.706666666667
2020-05-28,210.167569444444
2020-05-29,220.528645833333
2020-05-30,232.536423611111
2020-05-31,237.463993055556
2020-06-01,238.813159722222
2020-06-02,243.898090277778
2020-06-03,238.8396875
2020-06-04,243.13322916666698
2020-06-05,242.693506944444
2020-06-06,241.22913194444402
2020-06-07,240.60270833333303
2020-06-08,243.39847222222198
2020-06-09,243.440486111111
2020-06-10,244.48684027777801
2020-06-11,241.547048611111
2020-06-12,235.463229166667
2020-06-13,236.711319444444
2020-06-14,235.5153125
2020-06-15,226.960069444444
2020-06-16,233.19486111111087
2020-06-17,232.86729166666697
2020-06-18,232.122708333333
2020-06-19,229.205763888889
2020-06-20,228.425763888889
2020-06-21,229.524826388889
2020-06-22,237.768888888889
2020-06-23,242.977256944444
2020-06-24,239.60145833333303
2020-06-25,232.976388888889
2020-06-26,230.5590625
2020-06-27,226.9615625
2020-06-28,222.632673611111
2020-06-29,224.74916666666698
2020-06-30,226.21618055555598
2020-07-01,228.214861111111
2020-07-02,228.428263888889
2020-07-03,226.69451388888905
2020-07-04,226.825
2020-07-05,226.471041666667
2020-07-06,234.324236111111
2020-07-07,238.28541666666698
2020-07-08,243.383472222222
2020-07-09,243.7328125
2020-07-10,239.284652777778
2020-07-11,239.5884375
2020-07-12,239.62847222222197
2020-07-13,242.0840625
2020-07-14,239.534097222222
2020-07-15,239.043506944444
2020-07-16,234.088784722222
2020-07-17,233.013969907407
2020-07-18,234.454930555556
2020-07-19,235.0059375
2020-07-20,237.90777777777802
2020-07-21,241.78375
2020-07-22,245.593958333333
2020-07-23,267.81833333333304
2020-07-24,276.213611111111
2020-07-25,288.647326388889
2020-07-26,308.069583333333
2020-07-27,323.099409722222
2020-07-28,318.06590277777804
2020-07-29,320.716388888889
2020-07-30,322.623958333333
2020-07-31,340.348402777778
2020-08-01,362.2236458333329
2020-08-02,378.94274305555604
2020-08-03,387.419548611111
2020-08-04,391.223090277778
2020-08-05,394.531388888889
2020-08-06,396.8812152777781
2020-08-07,388.931423611111
2020-08-08,386.140972222222
2020-08-09,391.851076388889
2020-08-10,395.192638888889
2020-08-11,387.468263888889
2020-08-12,381.15399305555604
2020-08-13,395.2429166666671
2020-08-14,425.0
2020-08-15,438.83
2020-08-16,432.67
2020-08-17,433.71
2020-08-18,431.5
2020-08-19,422.31
2020-08-20,407.6
2020-08-21,415.92
2020-08-22,388.0
2020-08-23,395.52
2020-08-24,390.78
2020-08-25,407.76
2020-08-26,383.26
2020-08-27,386.12
2020-08-28,383.27
2020-08-29,395.35
2020-08-30,398.57
2020-08-31,428.92
2020-09-01,433.88
2020-09-02,475.57
2020-09-03,439.99
2020-09-04,382.15
2020-09-05,389.2
2020-09-06,335.25
2020-09-07,352.85
2020-09-08,353.71
2020-09-09,337.48
2020-09-10,351.11
2020-09-11,367.94
2020-09-12,373.93
2020-09-13,387.82
2020-09-14,366.58
2020-09-15,377.27
2020-09-16,364.05
2020-09-17,365.22
2020-09-18,389.52
2020-09-19,384.6
2020-09-20,385.25
2020-09-21,371.03
2020-09-22,340.36
2020-09-23,344.25
2020-09-24,320.65
2020-09-25,349.14
2020-09-26,352.12
2020-09-27,354.01
2020-09-28,357.53
2020-09-29,353.68
2020-09-30,359.93
2020-10-01,360.01
2020-10-02,352.84
2020-10-03,345.74
2020-10-04,346.18
2020-10-05,352.42
2020-10-06,353.82
2020-10-07,340.8
2020-10-08,341.7
2020-10-09,351.17
2020-10-10,365.35
2020-10-11,370.73
2020-10-12,374.37
2020-10-13,386.77
2020-10-14,381.37
2020-10-15,379.01
2020-10-16,377.89
2020-10-17,365.57
2020-10-18,368.48
2020-10-19,378.56
2020-10-20,379.53
2020-10-21,368.81
2020-10-22,391.36
2020-10-23,414.64
2020-10-24,409.55
2020-10-25,412.58
2020-10-26,406.32
2020-10-27,393.07
2020-10-28,404.56
2020-10-29,388.59
NOW,384.41
